PublisherID,PublisherName,City,Phone,Email
1,Wydawnictwo Znak,Kraków,123456789,wydawnictwo@znak.pl
2,Wydawnictwo Literackie,Kraków,234567890,wydawnictwo@literackie.pl
3,Wydawnictwo Czarne,Warszawa,345678901,wydawnictwo@czarne.pl
4,Wydawnictwo Sonia Draga,Łódź,456789012,wydawnictwo@soniadraga.pl
5,Wydawnictwo WAB,Warszawa,567890123,wydawnictwo@wab.pl
6,Wydawnictwo MUZA,Warszawa,678901234,wydawnictwo@muza.pl
7,Wydawnictwo Marginesy,Warszawa,789012345,wydawnictwo@marginesy.pl
8,Wydawnictwo Dolnośląskie,Wrocław,890123456,wydawnictwo@dolnoslaskie.pl
9,Wydawnictwo Wydawnicza,Jelenia Góra,901234567,wydawnictwo@wydawnicza.pl
10,Wydawnictwo Czarodziej,Bydgoszcz,012345678,wydawnictwo@czarodziej.pl
11,Wydawnictwo Zysk i S-ka,Poznań,123456789,wydawnictwo@zysk.pl
12,Wydawnictwo Otwarte,Kraków,234567890,wydawnictwo@otwarte.pl
13,Wydawnictwo Literackie,Poznań,345678901,wydawnictwo@literackie.pl
14,Wydawnictwo eSPe,Warszawa,456789012,wydawnictwo@espe.pl
15,Wydawnictwo Austeria,Katowice,567890123,wydawnictwo@austeria.pl
16,Wydawnictwo Bukowy Las,Kielce,678901234,wydawnictwo@bukowylas.pl
17,Wydawnictwo Poznańskie,Poznań,789012345,wydawnictwo@poznanskie.pl
18,Wydawnictwo Wilga,Warszawa,890123456,wydawnictwo@wilga.pl
19,Wydawnictwo Edipresse Warszawa,Warszawa,901234567,wydawnictwo@edipresse.pl
20,Wydawnictwo Proszynski Media,Warszawa,012345678,wydawnictwo@proszynski.pl
